X,Y
335.71351929848225,368.1911888422588
287.44602336966295,181.39876389806815
278.4307619514018,318.97318074243844
226.3911084409913,348.9624929638575
156.96428633365008,251.91018165770734
103.07333940956119,339.05610136457125
279.1514588364261,226.27273786608967
258.438967151657,158.99400992055234
133.15475591306532,162.10572340306697
118.75544782515993,170.8418148610354
139.33229949099993,366.5066417000366
219.99479165229232,177.59739233887476
162.96204620164002,203.80299045840584
255.5493154539963,218.1528187680125
200.66262377989193,162.86715514905725
241.7034432561986,181.08077236567416
333.81508297734246,249.05666014263875
164.0499277582648,163.52330097049224
214.49750230251942,341.4967258589064
218.8020939699318,280.8737587404206
265.29488571410803,354.2309560161913
254.521637951975,271.4502629760752
330.603503871964,357.4728009703364
169.95483452086845,246.5341059713973
141.46254451583437,226.49196556319413
245.0381694438855,371.4976964509298
263.7619270120495,277.0742787150717
314.8903097683452,282.1804301667508
198.6975849234131,364.3274880411893
280.4390966742176,160.79992531783077
191.26647206333007,380.54777733918695
284.34582337579457,338.5380362073749
113.91452506477133,188.35609694446825
159.68644663129479,201.98437403593564
164.89849915954744,341.1146123842327
259.51493895355804,226.8780166849079
143.06814326263188,181.7536737815625
284.5091137956395,360.9987655233483
197.55862909583246,317.06639585984414
291.5312045226882,151.14212385134687
291.73600441533097,283.7231657947918
173.00129548843003,377.86510252682854
115.78049195194798,281.8953746487392
315.8389214547639,336.3830445454762
209.8788014588307,377.9146808763132
233.11700310345876,171.50909601250868
156.44584312325432,145.233404847754
169.36188044682248,226.3775856393233
260.6096546205177,298.95886280281405
108.94614521369397,313.5433387762113
115.65227175961937,244.500856203497
259.3771269348649,339.27397957237207
337.4384636706433,172.61317681967512
