 ,Area,Mean,Min,Max,X,Y
1,0,89,89,89,13.000,58.000
2,0,81,81,81,56.500,31.500
3,0,66,66,66,42.500,56.500
4,0,73,73,73,114.500,82.500
5,0,65,65,65,130.500,66.500
6,0,85,85,85,139.500,33.500
7,0,49,49,49,179.500,19.500
8,0,93,93,93,190.500,7.500
9,0,86,86,86,215.500,16.500
10,0,69,69,69,213.500,47.500
11,0,75,75,75,203.500,86.500
12,0,61,61,61,183.500,77.500
13,0,82,82,82,7.500,125.500
14,0,75,75,75,11.500,172.500
15,0,81,81,81,47.500,172.500
16,0,84,84,84,96.500,176.500
17,0,83,83,83,182.500,178.500
18,0,72,72,72,293.500,132.500
19,0,84,84,84,262.500,65.500
20,0,83,83,83,278.500,31.500
21,0,84,84,84,323.500,3.500
22,0,78,78,78,335.500,6.500
23,0,76,76,76,362.500,2.500
24,0,81,81,81,315.500,54.500
25,0,88,88,88,361.500,68.500
26,0,82,82,82,411.500,69.500
27,0,84,84,84,404.500,26.500
28,0,62,62,62,446.500,28.500
29,0,88,88,88,481.500,61.500
30,0,53,53,53,469.500,82.500
31,0,60,60,60,532.500,76.500
32,0,76,76,76,526.500,34.500
33,0,83,83,83,562.500,44.500
34,0,73,73,73,564.500,29.500
35,0,80,80,80,360.500,93.500
36,0,66,66,66,420.500,146.500
37,0,86,86,86,363.500,137.500
38,0,80,80,80,472.500,168.500
39,0,85,85,85,482.500,142.500
40,0,87,87,87,499.500,151.500
41,0,82,82,82,582.500,174.500
42,0,79,79,79,608.500,230.500
43,0,83,83,83,550.500,263.500
44,0,77,77,77,486.500,246.500
45,0,86,86,86,455.500,244.500
46,0,84,84,84,423.500,229.500
47,0,89,89,89,401.500,191.500
48,0,76,76,76,355.500,177.500
49,0,81,81,81,339.500,200.500
50,0,79,79,79,292.500,234.500
51,0,86,86,86,277.500,248.500
52,0,91,91,91,235.500,211.500
53,0,84,84,84,213.500,220.500
54,0,85,85,85,97.500,252.500
55,0,88,88,88,60.500,219.500
56,0,82,82,82,10.500,220.500
57,0,73,73,73,30.500,280.500
58,0,62,62,62,81.500,331.500
59,0,58,58,58,129.500,292.500
60,0,82,82,82,166.500,321.500
61,0,61,61,61,201.500,303.500
62,0,85,85,85,204.500,259.500
63,0,65,65,65,323.500,261.500
64,0,88,88,88,359.500,291.500
65,0,81,81,81,390.500,275.500
66,0,88,88,88,455.500,304.500
67,0,82,82,82,467.500,321.500
68,0,67,67,67,500.500,336.500
69,0,86,86,86,526.500,343.500
70,0,84,84,84,545.500,382.500
71,0,49,49,49,571.500,378.500
72,0,81,81,81,588.500,361.500
73,0,83,83,83,602.500,361.500
74,0,85,85,85,432.500,331.500
75,0,85,85,85,404.500,369.500
76,0,52,52,52,358.500,334.500
77,0,78,78,78,323.500,312.500
78,0,84,84,84,328.500,358.500
79,0,87,87,87,355.500,375.500
80,0,55,55,55,296.500,361.500
81,0,85,85,85,277.500,350.500
82,0,86,86,86,274.500,334.500
83,0,85,85,85,18.500,334.500
84,0,84,84,84,25.500,358.500
85,0,53,53,53,1.500,394.500
86,0,77,77,77,36.500,419.500
87,0,88,88,88,76.500,396.500
88,0,88,88,88,75.500,428.500
89,0,67,67,67,153.500,411.500
90,0,86,86,86,224.500,389.500
91,0,66,66,66,115.500,456.500
92,0,78,78,78,157.500,475.500
93,0,87,87,87,193.500,459.500
94,0,67,67,67,142.500,524.500
95,0,67,67,67,229.500,516.500
96,0,46,46,46,50.500,554.500
97,0,84,84,84,17.500,528.500
98,0,86,86,86,258.500,435.500
99,0,89,89,89,284.500,447.500
100,0,77,77,77,276.500,476.500
101,0,89,89,89,328.500,433.500
102,0,71,71,71,342.500,475.500
103,0,85,85,85,304.500,515.500
104,0,89,89,89,339.500,520.500
105,0,93,93,93,381.500,526.500
106,0,74,74,74,352.500,563.500
107,0,63,63,63,395.500,568.500
108,0,59,59,59,440.500,536.500
109,0,85,85,85,431.500,447.500
110,0,67,67,67,455.500,443.500
111,0,85,85,85,500.500,471.500
112,0,70,70,70,519.500,468.500
113,0,48,48,48,575.500,484.500
114,0,87,87,87,600.500,472.500
115,0,62,62,62,504.500,567.500
116,0,69,69,69,439.500,577.500
