 ,Area,Mean,Min,Max,X,Y
1,0,85,85,85,22.000,28.000
2,0,85,85,85,33.500,86.500
3,0,85,85,85,153.500,63.500
4,0,85,85,85,222.500,102.500
5,0,85,85,85,125.500,202.500
6,0,85,85,85,11.500,247.500
7,0,85,85,85,67.500,332.500
8,0,85,85,85,157.500,385.500
9,0,85,85,85,217.500,419.500
10,0,85,85,85,277.500,365.500
11,0,85,85,85,311.500,441.500
12,0,86,86,86,263.500,523.500
13,0,86,86,86,221.500,506.500
14,0,85,85,85,428.500,420.500
15,0,85,85,85,361.500,342.500
16,0,85,85,85,446.500,314.500
17,0,85,85,85,430.500,277.500
18,0,85,85,85,301.500,232.500
19,0,85,85,85,398.500,171.500
20,0,85,85,85,701.500,54.500
21,0,85,85,85,769.500,99.500
22,0,85,85,85,750.500,245.500
23,0,85,85,85,690.500,260.500
24,0,85,85,85,599.500,296.500
25,0,87,87,87,841.500,330.500
26,0,85,85,85,970.500,322.500
27,0,85,85,85,877.500,464.500
28,0,85,85,85,951.500,543.500
29,0,85,85,85,840.500,546.500
30,0,85,85,85,733.500,532.500
31,0,85,85,85,677.500,547.500
32,0,86,86,86,670.500,456.500
33,0,85,85,85,616.500,451.500
