 ,Area,Mean,Min,Max,X,Y
1,0,108,108,108,12.000,42.000
2,0,107,107,107,101.500,37.500
3,0,108,108,108,191.500,65.500
4,0,110,110,110,207.500,142.500
5,0,108,108,108,125.500,125.500
6,0,110,110,110,35.500,108.500
7,0,108,108,108,59.500,182.500
8,0,109,109,109,144.500,200.500
9,0,108,108,108,233.500,211.500
10,0,107,107,107,162.500,270.500
11,0,109,109,109,73.500,262.500
12,0,109,109,109,8.500,217.500
13,0,106,106,106,11.500,309.500
14,0,109,109,109,95.500,334.500
15,0,109,109,109,182.500,342.500
16,0,105,105,105,256.500,357.500
17,0,106,106,106,29.500,382.500
